split,class_name,file_path,width,height
test,cardboard,data\test\cardboard\cardboard101.jpg,512,384
test,cardboard,data\test\cardboard\cardboard11.jpg,512,384
test,cardboard,data\test\cardboard\cardboard110.jpg,512,384
test,cardboard,data\test\cardboard\cardboard112.jpg,512,384
test,cardboard,data\test\cardboard\cardboard113.jpg,512,384
test,cardboard,data\test\cardboard\cardboard119.jpg,512,384
test,cardboard,data\test\cardboard\cardboard135.jpg,512,384
test,cardboard,data\test\cardboard\cardboard139.jpg,512,384
test,cardboard,data\test\cardboard\cardboard141.jpg,512,384
test,cardboard,data\test\cardboard\cardboard143.jpg,512,384
test,cardboard,data\test\cardboard\cardboard146.jpg,512,384
test,cardboard,data\test\cardboard\cardboard150.jpg,512,384
test,cardboard,data\test\cardboard\cardboard156.jpg,512,384
test,cardboard,data\test\cardboard\cardboard163.jpg,512,384
test,cardboard,data\test\cardboard\cardboard170.jpg,512,384
test,cardboard,data\test\cardboard\cardboard172.jpg,512,384
test,cardboard,data\test\cardboard\cardboard190.jpg,512,384
test,cardboard,data\test\cardboard\cardboard199.jpg,512,384
test,cardboard,data\test\cardboard\cardboard2.jpg,512,384
test,cardboard,data\test\cardboard\cardboard20.jpg,512,384
test,cardboard,data\test\cardboard\cardboard201.jpg,512,384
test,cardboard,data\test\cardboard\cardboard206.jpg,512,384
test,cardboard,data\test\cardboard\cardboard211.jpg,512,384
test,cardboard,data\test\cardboard\cardboard220.jpg,512,384
test,cardboard,data\test\cardboard\cardboard225.jpg,512,384
test,cardboard,data\test\cardboard\cardboard227.jpg,512,384
test,cardboard,data\test\cardboard\cardboard234.jpg,512,384
test,cardboard,data\test\cardboard\cardboard254.jpg,512,384
test,cardboard,data\test\cardboard\cardboard256.jpg,512,384
test,cardboard,data\test\cardboard\cardboard258.jpg,512,384
test,cardboard,data\test\cardboard\cardboard264.jpg,512,384
test,cardboard,data\test\cardboard\cardboard273.jpg,512,384
test,cardboard,data\test\cardboard\cardboard274.jpg,512,384
test,cardboard,data\test\cardboard\cardboard292.jpg,512,384
test,cardboard,data\test\cardboard\cardboard294.jpg,512,384
test,cardboard,data\test\cardboard\cardboard305.jpg,512,384
test,cardboard,data\test\cardboard\cardboard310.jpg,512,384
test,cardboard,data\test\cardboard\cardboard331.jpg,512,384
test,cardboard,data\test\cardboard\cardboard346.jpg,512,384
test,cardboard,data\test\cardboard\cardboard350.jpg,512,384
